Domain: stanbicbank.co.zw, Logo: No logo found
Domain: astrazeneca.ua, Logo: No logo found
Domain: autosecuritas-ct-seysses.fr, Logo: http://autosecuritas-ct-seysses.fr/public/img/member-site-v2/favicon.png
Domain: ovb.ro, Logo: http://ovb.ro/fileadmin/assets/_processed_/4/6/csm_headercarousel_003_f8a605755e.jpg
Domain: mazda-autohaus-hellwig-hoyerswerda.de, Logo: No logo found
Domain: toyota-buchreiter-eisenstadt.at, Logo: No logo found
Domain: ebay.cn, Logo: No logo found
Domain: greatplacetowork.com.bo, Logo: https://www.greatplacetowork.com.bo/hubfs/favicon-32x32.png
Domain: wurth-international.com, Logo: No logo found
Domain: plameco-hannover.de, Logo: No logo found
Domain: kia-moeller-wunstorf.de, Logo: http://kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/rbr-fav.ico
Domain: ccusa.co.nz, Logo: https://ccusa.co.nz/wp-content/uploads/2023/02/elementor/thumbs/favicon_noGlobeRound-qajrjo512ai2oh7ixchhx7bnlqb2o6o9g5aqgvfk38.png
Domain: tupperware.at, Logo: No logo found
Domain: zalando.cz, Logo: No logo found
Domain: crocs.com.uy, Logo: No logo found
Domain: ymcasteuben.org, Logo: No logo found
Domain: engie.co.uk, Logo: No logo found
Domain: ibc-solar.jp, Logo: http://ibc-solar.jp/config/Resources/favicons/favicon.ico
Domain: lidl.com.cy, Logo: http://lidl.com.cy/cdn/assets/logos/1.0.1/lidl-logo-shop-cdn.svg
Domain: nobleprog.mx, Logo: No logo found
Domain: freseniusmedicalcare.ca, Logo: http://freseniusmedicalcare.ca/assets/images/favicon/favicon-32x32.png
Domain: synlab.com.tr, Logo: No logo found
Domain: avis.cr, Logo: https://avis.cr/favico.ico
Domain: ebayglobalshipping.com, Logo: No logo found
Domain: cafelasmargaritas.es, Logo: https://cafelasmargaritas.es/wp-content/uploads/2023/12/cropped-ico-32x32.avif
Domain: affidea.ba, Logo: No logo found
Domain: bakertilly.lu, Logo: http://bakertilly.lu/favicon-32x32.png
Domain: spitex-wasseramt.ch, Logo: http://spitex-wasseramt.ch/img/spitex2014/default/favicon.ico
Domain: aamcoanaheim.net, Logo: http://aamcoanaheim.net/images/IconAAMCOnew.ico
Domain: deheus.com.vn, Logo: http://deheus.com.vn/Assets/favicons/favicon-32x32.png
Domain: veolia.com.ru, Logo: No logo found
Domain: julis-sh.de, Logo: https://julis-sh.de/wp-content/uploads/2022/06/220605_Julia_Favicon_148-150x150.png
Domain: aamcoconyersga.com, Logo: http://aamcoconyersga.com/images/IconAAMCOnew.ico
Domain: renault-tortosa.es, Logo: http://renault-tortosa.es/img_src/renault-logo-2023.svg
Domain: oil-testing.de, Logo: https://oil-testing.de/wp-content/uploads/2021/07/cropped-BV_Logo_Grey_Pantone_404-removebg-preview-1-e1625230190692-32x32.png
Domain: baywa-re.es, Logo: http://baywa-re.es/typo3conf/ext/gg_base/Resources/Public/country/dist/img/favicons/favicon.ico
Domain: menschenfuermenschen.at, Logo: http://menschenfuermenschen.at/favicon-96x96.png
Domain: europa-union-sachsen-anhalt.de, Logo: http://europa-union-sachsen-anhalt.de/typo3conf/ext/skeud/Resources/Public/Icons/eud.ico
Domain: wurthsaudi.com, Logo: No logo found
Domain: pirtek.be, Logo: https://www.pirtek.be/wp-content/uploads/2021/03/PIR_rgb_favicon-32.png
Domain: aamcoseguin.com, Logo: https://www.aamcoseguin.com/wp-content/uploads/2018/11/cropped-AAMCO_favicon-192x192.png 
Domain: bakertilly.es, Logo: No logo found
Domain: mazda-autohaus-kaschmieder-waren.de, Logo: No logo found
Domain: zkteco.vn, Logo: https://new-website-file.s3.ap-southeast-1.amazonaws.com/images/20211210/180197e5dfdfeee4e74ac04365df3b65.png
Domain: allianz.nl, Logo: http://allianz.nl/content/dam/onemarketing/system/favicon/AZ_Logo_eagle.png/_jcr_content/renditions/cq5dam.thumbnail.16.16.png
Domain: xella-colloquium.berlin, Logo: No logo found
Domain: unicharm.com.br, Logo: No logo found
Domain: berlitz-augsburg.de, Logo: http://berlitz-augsburg.de/favicon-32x32.png?v=a9801145592d60e986594599316ccd3b
Domain: intertongn.es, Logo: https://intertongn.es/wp-content/uploads/2019/07/cropped-interton-favicom-100x100.jpg
Domain: bmw-motorrad-euromotos-lyon.fr, Logo: http://bmw-motorrad-euromotos-lyon.fr/img/favicon.ico?1669278719
Domain: rsmpoland.pl, Logo: https://www.rsmpoland.pl/themes/custom/rsm_poland/images/favicons/favicon.ico
Domain: esseskincare.sg, Logo: https://esseskincare.sg/wp-content/uploads/2024/09/esse_logo_darker2.png
Domain: secureparkinghi.com, Logo: https://www.secureparkinghi.com/wp-content/uploads/2021/10/Favicon.png
Domain: trinkgutlippstadt.de, Logo: https://trinkgutgeilenkirchen.de/wp-content/uploads/2014/02/favicon.png
